iter	Passed	Remaining
0	17	17649
1	22	11076
2	28	9572
3	35	8745
4	45	8984
5	52	8625
6	62	8915
7	71	8831
8	79	8781
9	84	8371
10	90	8114
11	94	7761
12	97	7438
13	101	7137
14	106	6975
15	110	6811
16	113	6563
17	116	6353
18	120	6210
19	124	6124
20	127	5957
21	130	5805
22	133	5668
23	137	5585
24	140	5473
25	143	5369
26	146	5267
27	148	5172
28	153	5126
29	156	5053
30	159	4974
31	161	4898
32	165	4838
33	169	4804
34	171	4738
35	174	4675
36	177	4615
37	180	4558
38	185	4574
39	188	4525
40	191	4476
41	194	4428
42	197	4388
43	203	4421
44	210	4473
45	214	4444
46	221	4496
47	227	4516
48	233	4539
49	237	4513
50	241	4486
51	245	4475
52	250	4469
53	254	4449
54	257	4425
55	262	4425
56	266	4405
57	268	4359
58	272	4339
59	276	4334
60	283	4363
61	287	4344
62	290	4326
63	295	4328
64	299	4310
65	303	4293
66	307	4278
67	313	4291
68	314	4243
69	318	4229
70	321	4212
71	326	4213
72	330	4196
73	333	4178
74	337	4166
75	342	4163
76	346	4148
77	349	4134
78	354	4129
79	357	4112
80	360	4095
81	364	4082
82	368	4069
83	375	4094
84	379	4080
85	382	4067
86	388	4081
87	391	4060
88	394	4038
89	397	4017
90	401	4011
91	407	4025
92	412	4023
93	416	4017
94	421	4017
95	424	3997
96	427	3978
97	430	3958
98	434	3951
99	437	3933
100	439	3914
101	442	3898
102	445	3879
103	446	3846
104	450	3837
105	452	3820
106	455	3804
107	458	3788
108	461	3771
109	464	3761
110	467	3746
111	470	3730
112	473	3715
113	476	3699
114	480	3696
115	482	3679
116	485	3667
117	488	3653
118	491	3639
119	494	3627
120	498	3618
121	500	3604
122	503	3590
123	506	3577
124	509	3564
125	511	3549
126	516	3549
127	519	3536
128	522	3524
129	524	3512
130	529	3512
131	532	3500
132	535	3488
133	537	3476
134	539	3457
135	543	3452
136	546	3440
137	549	3429
138	551	3417
139	554	3406
140	559	3409
141	563	3403
142	566	3397
143	570	3391
144	574	3388
145	578	3382
146	581	3375
147	585	3373
148	591	3377
149	595	3372
150	598	3366
151	612	3418
152	616	3413
153	621	3414
154	630	3436
155	638	3455
156	651	3497
157	665	3546
158	675	3574
159	681	3579
160	689	3594
161	695	3598
162	699	3591
163	707	3608
164	711	3598
165	713	3586
166	719	3588
167	722	3575
168	724	3563
169	727	3551
170	730	3540
171	735	3539
172	737	3527
173	740	3516
174	743	3505
175	746	3493
176	750	3491
177	753	3480
178	756	3469
179	759	3458
180	761	3447
181	766	3445
182	769	3434
183	772	3423
184	774	3413
185	777	3403
186	783	3406
187	786	3396
188	789	3386
189	792	3376
190	797	3376
191	802	3377
192	805	3368
193	808	3359
194	813	3357
195	819	3361
196	821	3347
197	824	3337
198	827	3329
199	830	3323
200	834	3315
201	836	3305
202	839	3296
203	841	3282
204	847	3286
205	851	3280
206	854	3273
207	857	3266
208	865	3274
209	868	3268
210	870	3255
211	875	3255
212	893	3301
213	898	3301
214	903	3300
215	909	3302
216	914	3299
217	919	3297
218	926	3303
219	932	3305
220	935	3296
221	939	3293
222	944	3292
223	947	3283
224	950	3273
225	955	3270
226	958	3263
227	961	3254
228	963	3244
229	966	3236
230	971	3233
231	974	3224
232	977	3216
233	980	3209
234	988	3216
235	995	3221
236	999	3217
237	1007	3227
238	1015	3234
239	1022	3237
240	1025	3230
241	1029	3223
242	1035	3224
243	1038	3218
244	1042	3211
245	1045	3204
246	1052	3209
247	1056	3202
248	1058	3193
249	1061	3184
250	1066	3181
251	1068	3172
252	1071	3163
253	1074	3155
254	1077	3146
255	1081	3142
256	1084	3134
257	1086	3125
258	1089	3117
259	1092	3108
260	1097	3107
261	1101	3101
262	1103	3093
263	1106	3085
264	1110	3080
265	1114	3074
266	1116	3065
267	1119	3057
268	1122	3050
269	1128	3050
270	1132	3047
271	1136	3042
272	1141	3039
273	1149	3046
274	1153	3040
275	1161	3047
276	1168	3050
277	1176	3056
278	1186	3066
279	1198	3082
280	1203	3080
281	1215	3095
282	1222	3096
283	1226	3092
284	1233	3093
285	1238	3091
286	1243	3088
287	1250	3091
288	1257	3093
289	1266	3101
290	1271	3098
291	1276	3095
292	1282	3094
293	1287	3092
294	1293	3091
295	1301	3095
296	1305	3091
297	1311	3090
298	1316	3085
299	1319	3079
300	1323	3072
301	1328	3070
302	1332	3064
303	1335	3058
304	1339	3052
305	1343	3047
306	1347	3041
307	1351	3036
308	1357	3034
309	1361	3030
310	1365	3024
311	1368	3018
312	1376	3020
313	1380	3014
314	1383	3008
315	1394	3019
316	1398	3012
317	1402	3007
318	1408	3007
319	1411	2999
320	1414	2991
321	1419	2989
322	1424	2986
323	1428	2980
324	1431	2973
325	1436	2970
326	1441	2967
327	1444	2959
328	1449	2955
329	1454	2953
330	1457	2946
331	1460	2938
332	1465	2934
333	1469	2929
334	1472	2922
335	1475	2914
336	1477	2907
337	1482	2903
338	1485	2896
339	1488	2889
340	1489	2879
341	1492	2872
342	1497	2869
343	1501	2863
344	1504	2855
345	1507	2848
346	1509	2841
347	1513	2836
348	1516	2829
349	1519	2822
350	1522	2814
351	1525	2807
352	1529	2803
353	1532	2796
354	1535	2789
355	1537	2782
356	1540	2775
357	1546	2772
358	1549	2766
359	1551	2759
360	1554	2752
361	1559	2749
362	1562	2742
363	1565	2735
364	1568	2728
365	1571	2721
366	1576	2719
367	1579	2712
368	1582	2706
369	1585	2699
370	1587	2692
371	1595	2693
372	1601	2692
373	1604	2685
374	1609	2682
375	1612	2675
376	1615	2669
377	1618	2663
378	1621	2657
379	1624	2651
380	1627	2644
381	1631	2638
382	1633	2632
383	1636	2625
384	1640	2620
385	1643	2614
386	1646	2607
387	1648	2600
388	1652	2595
389	1656	2590
390	1658	2583
391	1661	2577
392	1664	2570
393	1667	2564
394	1671	2559
395	1673	2553
396	1676	2546
397	1679	2540
398	1682	2533
399	1686	2530
400	1690	2524
401	1692	2518
402	1695	2512
403	1698	2505
404	1702	2501
405	1705	2495
406	1708	2488
407	1710	2482
408	1713	2476
409	1717	2471
410	1720	2465
411	1723	2459
412	1726	2453
413	1728	2447
414	1732	2442
415	1735	2436
416	1738	2430
417	1741	2424
418	1743	2418
419	1748	2414
420	1752	2409
421	1754	2403
422	1757	2397
423	1760	2391
424	1765	2388
425	1768	2382
426	1770	2376
427	1773	2370
428	1776	2365
429	1781	2362
430	1784	2356
431	1787	2350
432	1790	2344
433	1795	2341
434	1800	2338
435	1806	2336
436	1809	2330
437	1813	2326
438	1816	2321
439	1820	2316
440	1823	2311
441	1826	2305
442	1829	2300
443	1833	2295
444	1835	2289
445	1838	2284
446	1841	2278
447	1845	2273
448	1848	2268
449	1851	2262
450	1853	2256
451	1857	2251
452	1861	2247
453	1863	2241
454	1866	2235
455	1869	2230
456	1872	2224
457	1876	2220
458	1879	2214
459	1881	2209
460	1884	2203
461	1887	2198
462	1891	2194
463	1896	2191
464	1898	2184
465	1901	2178
466	1903	2172
467	1908	2169
468	1911	2164
469	1915	2159
470	1918	2154
471	1924	2152
472	1928	2148
473	1932	2144
474	1935	2139
475	1941	2137
476	1945	2133
477	1948	2128
478	1954	2125
479	1957	2121
480	1961	2116
481	1964	2111
482	1970	2109
483	1974	2104
484	1977	2100
485	1981	2095
486	1988	2094
487	1993	2091
488	1997	2087
489	2003	2085
490	2008	2082
491	2013	2079
492	2018	2075
493	2022	2071
494	2026	2067
495	2030	2063
496	2035	2059
497	2038	2055
498	2042	2050
499	2045	2045
500	2050	2042
501	2053	2037
502	2056	2031
503	2058	2026
504	2061	2020
505	2066	2017
506	2070	2012
507	2073	2008
508	2077	2003
509	2082	2000
510	2085	1995
511	2089	1991
512	2093	1986
513	2097	1982
514	2101	1979
515	2105	1974
516	2108	1970
517	2114	1967
518	2118	1963
519	2121	1958
520	2125	1954
521	2131	1951
522	2135	1947
523	2138	1942
524	2143	1939
525	2147	1935
526	2150	1930
527	2154	1926
528	2159	1923
529	2163	1918
530	2167	1914
531	2171	1910
532	2178	1908
533	2182	1904
534	2185	1899
535	2194	1899
536	2201	1897
537	2204	1893
538	2210	1891
539	2215	1886
540	2218	1882
541	2223	1878
542	2228	1875
543	2231	1870
544	2235	1866
545	2241	1863
546	2246	1860
547	2251	1856
548	2256	1853
549	2260	1849
550	2264	1845
551	2268	1840
552	2274	1838
553	2277	1833
554	2281	1829
555	2285	1824
556	2291	1822
557	2294	1817
558	2298	1813
559	2303	1809
560	2306	1805
561	2310	1800
562	2314	1796
563	2320	1793
564	2323	1789
565	2327	1784
566	2331	1780
567	2336	1777
568	2340	1773
569	2344	1768
570	2348	1764
571	2353	1760
572	2356	1756
573	2360	1751
574	2365	1748
575	2369	1744
576	2375	1741
577	2379	1737
578	2455	1785
579	2469	1788
580	2482	1790
581	2495	1792
582	2536	1814
583	2546	1813
584	2552	1810
585	2581	1823
586	2585	1819
587	2589	1814
588	2595	1810
589	2599	1806
590	2603	1801
591	2608	1797
592	2614	1794
593	2618	1789
594	2622	1785
595	2628	1781
596	2632	1776
597	2635	1771
598	2641	1768
599	2645	1763
600	2649	1759
601	2653	1754
602	2660	1751
603	2664	1746
604	2667	1741
605	2675	1739
606	2679	1734
607	2684	1730
608	2688	1726
609	2694	1723
610	2697	1717
611	2700	1712
612	2704	1707
613	2708	1702
614	2711	1697
615	2715	1692
616	2718	1687
617	2722	1683
618	2726	1678
619	2729	1673
620	2733	1668
621	2737	1663
622	2741	1658
623	2744	1653
624	2748	1649
625	2752	1644
626	2756	1639
627	2759	1634
628	2763	1629
629	2767	1625
630	2770	1620
631	2773	1614
632	2776	1609
633	2778	1604
634	2782	1599
635	2786	1594
636	2790	1589
637	2793	1585
638	2798	1580
639	2802	1576
640	2806	1572
641	2810	1567
642	2815	1562
643	2818	1558
644	2822	1553
645	2825	1548
646	2829	1543
647	2832	1538
648	2835	1533
649	2838	1528
650	2841	1523
651	2845	1518
652	2850	1514
653	2854	1510
654	2858	1505
655	2863	1501
656	2868	1497
657	2872	1493
658	2881	1490
659	2886	1487
660	2891	1482
661	2898	1480
662	2902	1475
663	2906	1470
664	2911	1466
665	2915	1462
666	2919	1457
667	2923	1453
668	2928	1448
669	2932	1444
670	2936	1439
671	2940	1435
672	2944	1430
673	2948	1426
674	2952	1421
675	2957	1417
676	2962	1413
677	2965	1408
678	2969	1403
679	2974	1399
680	2978	1395
681	2982	1390
682	2986	1385
683	2992	1382
684	2996	1377
685	2999	1373
686	3003	1368
687	3008	1364
688	3011	1359
689	3015	1354
690	3018	1349
691	3023	1345
692	3027	1341
693	3030	1336
694	3034	1331
695	3039	1327
696	3043	1323
697	3047	1318
698	3051	1314
699	3055	1309
700	3058	1304
701	3062	1299
702	3068	1296
703	3072	1291
704	3075	1287
705	3079	1282
706	3085	1278
707	3090	1274
708	3096	1270
709	3100	1266
710	3104	1261
711	3107	1256
712	3110	1252
713	3113	1247
714	3117	1242
715	3120	1237
716	3123	1232
717	3127	1228
718	3132	1224
719	3136	1219
720	3140	1215
721	3143	1210
722	3148	1206
723	3152	1201
724	3156	1197
725	3159	1192
726	3165	1188
727	3169	1184
728	3172	1179
729	3176	1174
730	3181	1170
731	3185	1166
732	3188	1161
733	3192	1156
734	3198	1153
735	3202	1148
736	3205	1144
737	3210	1139
738	3214	1135
739	3217	1130
740	3221	1126
741	3225	1121
742	3229	1117
743	3233	1112
744	3237	1108
745	3242	1103
746	3247	1099
747	3251	1095
748	3257	1091
749	3262	1087
750	3267	1083
751	3274	1079
752	3280	1075
753	3285	1071
754	3290	1067
755	3297	1064
756	3302	1060
757	3308	1056
758	3311	1051
759	3316	1047
760	3319	1042
761	3325	1038
762	3329	1034
763	3333	1029
764	3337	1025
765	3341	1020
766	3345	1016
767	3348	1011
768	3352	1006
769	3356	1002
770	3360	998
771	3363	993
772	3367	988
773	3372	984
774	3375	980
775	3379	975
776	3382	970
777	3388	966
778	3392	962
779	3395	957
780	3399	953
781	3405	949
782	3408	944
783	3411	939
784	3414	935
785	3418	930
786	3421	925
787	3423	921
788	3426	916
789	3429	911
790	3433	907
791	3436	902
792	3439	897
793	3441	892
794	3444	888
795	3450	884
796	3454	879
797	3458	875
798	3461	870
799	3466	866
800	3470	862
801	3474	857
802	3479	853
803	3485	849
804	3488	845
805	3492	840
806	3498	836
807	3505	832
808	3511	829
809	3517	825
810	3521	820
811	3525	816
812	3530	812
813	3534	807
814	3537	803
815	3541	798
816	3546	794
817	3550	789
818	3554	785
819	3558	781
820	3562	776
821	3565	772
822	3569	767
823	3573	763
824	3578	759
825	3582	754
826	3586	750
827	3590	745
828	3596	741
829	3599	737
830	3602	732
831	3605	728
832	3609	723
833	3611	718
834	3614	714
835	3617	709
836	3620	705
837	3624	700
838	3626	696
839	3629	691
840	3632	686
841	3635	682
842	3640	677
843	3643	673
844	3645	668
845	3648	664
846	3651	659
847	3656	655
848	3659	650
849	3662	646
850	3665	641
851	3667	637
852	3672	632
853	3675	628
854	3677	623
855	3680	619
856	3684	614
857	3688	610
858	3691	605
859	3694	601
860	3697	596
861	3702	592
862	3707	588
863	3712	584
864	3715	579
865	3720	575
866	3723	571
867	3726	566
868	3729	562
869	3733	557
870	3736	553
871	3737	548
872	3741	544
873	3744	539
874	3747	535
875	3749	530
876	3752	526
877	3756	521
878	3758	517
879	3761	512
880	3765	508
881	3768	504
882	3770	499
883	3773	495
884	3776	490
885	3780	486
886	3783	481
887	3786	477
888	3788	473
889	3791	468
890	3796	464
891	3800	460
892	3805	456
893	3809	451
894	3814	447
895	3819	443
896	3823	439
897	3826	434
898	3830	430
899	3834	426
900	3839	421
901	3842	417
902	3846	413
903	3849	408
904	3855	404
905	3859	400
906	3862	396
907	3867	391
908	3871	387
909	3874	383
910	3878	378
911	3884	374
912	3888	370
913	3892	366
914	3895	361
915	3905	358
916	3910	353
917	3921	350
918	3926	346
919	3932	341
920	3938	337
921	3942	333
922	3948	329
923	3952	325
924	3955	320
925	3959	316
926	3963	312
927	3968	307
928	3972	303
929	3976	299
930	3981	295
931	3985	290
932	3989	286
933	3993	282
934	3999	278
935	4003	273
936	4006	269
937	4010	265
938	4015	260
939	4019	256
940	4022	252
941	4027	248
942	4031	243
943	4035	239
944	4039	235
945	4044	230
946	4048	226
947	4051	222
948	4055	217
949	4060	213
950	4064	209
951	4067	205
952	4070	200
953	4073	196
954	4077	192
955	4079	187
956	4082	183
957	4085	179
958	4088	174
959	4094	170
960	4097	166
961	4100	161
962	4103	157
963	4109	153
964	4112	149
965	4117	144
966	4120	140
967	4126	136
968	4128	132
969	4131	127
970	4134	123
971	4138	119
972	4142	114
973	4145	110
974	4147	106
975	4150	102
976	4154	97
977	4157	93
978	4160	89
979	4162	84
980	4165	80
981	4169	76
982	4172	72
983	4175	67
984	4178	63
985	4180	59
986	4183	55
987	4188	50
988	4191	46
989	4194	42
990	4196	38
991	4199	33
992	4203	29
993	4206	25
994	4209	21
995	4211	16
996	4214	12
997	4218	8
998	4221	4
999	4224	0
